mass_cut,n_high,rho_high,p_high,minus_log10_p_high,n_low,rho_low,p_low
9.5,135,0.0892108087015901,0.30350294245648834,0.5178370940898058,20,-0.12180451127819547,0.6089566221649011
9.55,133,0.07911569969700369,0.3653519497698666,0.43728857061783466,22,-0.06606437041219651,0.7702096134744482
9.600000000000001,132,0.07835515228042346,0.37183367905004183,0.42965127630924826,23,-0.03952569169960475,0.857892938600224
9.650000000000002,131,0.07824694389579885,0.374348804224372,0.42672354979275073,24,-0.047826086956521734,0.8243778236378612
9.700000000000003,130,0.07910800365975228,0.3709679285584741,0.43066363499990024,25,-0.05846153846153846,0.7813348550958151
9.750000000000004,128,0.07533533235671122,0.3980199555111952,0.40009515317471844,27,-0.026862026862026864,0.8941948368835394
9.800000000000004,127,0.07543588301462316,0.39927559998442164,0.3987272290390864,28,-0.04159824849480022,0.8335332025809923
9.850000000000005,125,0.07126881720430106,0.42963895602833563,0.3668963473710901,30,-0.034482758620689655,0.8564476380779374
9.900000000000006,124,0.07258536585365853,0.42304598917708364,0.3736124180618964,31,-0.03346774193548387,0.8581475135178092
9.950000000000006,122,0.08897267539265286,0.3297820655896528,0.48177296611792275,33,-0.08088235294117647,0.6545483098680833
10.000000000000007,121,0.09096328410784443,0.3210663925920799,0.49340515153618136,34,-0.08999236058059586,0.6127565629645503
10.050000000000008,119,0.09453781512605043,0.3064530932057281,0.5136359907080225,36,-0.08211068211068212,0.6340156579002119
10.100000000000009,117,0.11864406779661016,0.20264272590844218,0.6932689811377999,38,-0.13841776999671737,0.4072394570535627
10.15000000000001,116,0.1276054280552032,0.1722353904508477,0.7638776060860393,39,-0.15202429149797572,0.35554458367680386
10.20000000000001,114,0.1522812417731516,0.10578157076393287,0.975589988375424,41,-0.20749128919860632,0.19301031262787557
10.25000000000001,112,0.1716694570676872,0.07031778846005023,1.1529347965619876,43,-0.233615221987315,0.13162453106149008
10.300000000000011,110,0.1591190857245903,0.09683654606470862,1.0139607092322542,45,-0.17048748353096177,0.26284021241897726
10.350000000000012,108,0.16738594034315546,0.08335855431446405,1.0790498259386871,47,-0.19183626271970397,0.19643152070399286
10.400000000000013,106,0.14136584628561352,0.14832783540597236,0.8287773410225459,49,-0.12642857142857142,0.3866906678470631
10.450000000000014,104,0.12783527152459193,0.19593301809753766,0.7078923717170429,51,-0.08932126696832579,0.5330772397997865
10.500000000000014,102,0.11111613731333157,0.26620944120799517,0.5747765461873192,53,-0.045476536042573776,0.7464324754579291
