xc,delta_rss,rss_global,rss_split,beta_global,beta_low,beta_high,n_low,n_high
10.47979797979798,0.064291094738123,2.3020813661855266,2.2377902714474036,-0.0059130550729649236,0.0029665186228650564,-0.19565833633288168,70,22
9.762626262626263,0.07472389979281946,2.2834501917566135,2.208726291963794,-0.014356751572167658,-0.06357694339176886,0.017998536658042904,53,39
10.3989898989899,0.041506879026286914,2.3027478359671316,2.2612409569408447,0.005370457122517438,-0.0026124222139741857,-0.1262472224361201,69,23
10.297979797979798,0.1025834098215972,2.2976044266677897,2.1950210168461926,0.008723007451898667,0.04433488906331188,0.0101749781909666,66,26
9.742424242424242,0.047795189837969154,2.2880163125652,2.240221122727231,-0.012812900855341262,0.01972869632887296,0.028944708644601837,52,40
10.156565656565657,0.08539741527242395,2.2886476763633627,2.203250261090939,-0.012584534669452557,-0.051307257699306975,-0.06027522499253029,58,34
10.075757575757576,0.11996690281972278,2.300858834400573,2.18089193158085,-0.006796675607827819,0.02305472281348988,0.11376838247810937,57,35
10.186868686868687,0.09197812847986908,2.2929779890077167,2.2009998605278476,0.010889942002405386,0.002476087673127176,-0.14367176211671026,62,30
10.035353535353535,0.07019709851559996,2.2949783665256325,2.2247812680100325,0.010010729797867296,0.04397863747690273,0.07328620874174875,55,37
10.47979797979798,0.111987850155856,2.3058176712094878,2.193829821053632,-0.0008008081000507494,0.0317253667729341,-0.007535253342390347,70,22
9.51010101010101,0.14030626396254675,2.274426565148774,2.1341203011862273,0.01700030344617454,0.09653420335255314,-0.029821989754956424,48,44
10.166666666666666,0.11381936303436868,2.3052345003412054,2.1914151373068367,0.002449182106848302,-0.03213570737280543,-0.09402980680221883,60,32
9.5,0.1004323924588073,2.284440083787154,2.184007691328347,0.014036482535645333,0.02881416579488418,0.10419533416508063,47,45
9.722222222222221,0.10130854840888137,2.3033114381452373,2.202002889736356,0.004864604274634181,0.0689802554979324,0.004051127245036185,50,42
10.186868686868687,0.08723186403522476,2.283502513455574,2.196270649420349,0.014340002488549856,-0.023129311339576634,0.007135945381673587,62,30
9.732323232323232,0.21110314659734986,2.2985435807647447,2.087440434167395,0.008213615563085296,0.07321208351907584,0.1051184611123146,51,41
9.732323232323232,0.13393236379557516,2.304883753360704,2.1709513895651287,0.003036539165417871,-0.05446946258225187,-0.06046733824121004,51,41
10.3989898989899,0.08787327012416313,2.301289495030537,2.213416224906374,-0.006499123721150443,0.008528686058123265,0.16966749657832658,69,23
10.47979797979798,0.06464159034077976,2.2681299084864674,2.2034883181456877,-0.018624002687385358,-0.02281335087425514,-0.206427935201176,70,22
9.742424242424242,0.19431116049555808,2.3032839797716025,2.1089728192760444,0.00489046177768926,-0.03611842350871546,-0.12722741328621134,52,40
9.51010101010101,0.07841173484769959,2.289533611217816,2.2111218763701164,-0.012256917390698147,0.04647887676568954,0.0038283546197811643,48,44
9.5,0.08929568729951232,2.292845998319491,2.2035503110199786,0.010945471514953144,-0.036283464212669314,-0.044976427136522036,47,45
9.5,0.05180614418371565,2.3040934058867717,2.252287261703056,0.004059675099652822,0.024582800397287195,-0.06208951894987391,47,45
10.176767676767676,0.2079583889241463,2.2984124859801853,2.090454097056039,0.00828660125873988,-0.025378683169689217,-0.17067102807277126,61,31
