upsilon_disk,scm_u_term
0.1,6.808484235962093
0.2,6.662007227138707
0.3,6.518534252945299
0.4,6.377885520012025
0.5,6.2398988561266355
0.6,6.104427342765055
0.7,5.971337350309587
0.7999999999999999,5.840506893593469
0.8999999999999999,5.711824245033239
0.9999999999999999,5.585186756919602
1.0999999999999999,5.460499855039288
1.2,5.337676173766658
1.3,5.216634808826169
1.4,5.097300668593083
1.5,4.979603908429235
1.5999999999999999,4.863479435400511
1.7,4.7488664729803505
1.8,4.6357081771467215
1.9,4.523951296731327
2.0,4.4135458720565435
