upsilon_disk,scm_u_term
0.1,7.657172087426372
0.2,7.440189006893729
0.3,7.229821649870373
0.4,7.025493591560959
0.5,6.826708979601442
0.6,6.633037397420768
0.7,6.44410225569163
0.7999999999999999,6.259571741962757
0.8999999999999999,6.079151663304312
0.9999999999999999,5.902579714653853
1.0999999999999999,5.729620837662201
1.2,5.560063425205154
1.3,5.393716189854361
1.4,5.230405559527649
1.5,5.06997349605007
1.5999999999999999,4.912275656240096
1.7,4.757179832924792
1.8,4.604564626710172
1.9,4.454318309585654
2.0,4.306337849368552
