upsilon_disk,scm_u_term
0.1,5.411369785075594
0.2,5.325768029109896
0.3,5.241269393201258
0.4,5.157831744241586
0.5,5.075415627207066
0.6,4.993984027858701
0.7,4.91350216258383
0.7999999999999999,4.833937291570958
0.8999999999999999,4.755258552146145
0.9999999999999999,4.677436809611826
1.0999999999999999,4.600444523345447
1.2,4.524255626256347
1.3,4.448845415980251
1.4,4.374190456423927
1.5,4.300268488466905
1.5999999999999999,4.227058348790233
1.7,4.154539895939695
1.8,4.0826939428473485
1.9,4.011502195134198
2.0,3.940947194601508
