upsilon_disk,scm_u_term
0.1,9.769568995601508
0.2,9.113198524826174
0.3,8.522068526969358
0.4,7.979868130551626
0.5,7.476152117188668
0.6,7.003749512786138
0.7,6.557484301385785
0.7999999999999999,6.133476343855123
0.8999999999999999,5.72872980881492
0.9999999999999999,5.340876647794621
1.0999999999999999,4.968009397595655
1.2,4.608568316826798
1.3,4.261263170575004
1.4,3.925018134758136
1.5,3.5989329326848356
1.5999999999999999,3.282256180336106
1.7,2.97436893787102
1.8,2.674778271188526
1.9,2.383122864918121
2.0,2.099196460814825
